#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
0.005 0.005, 0.0 0.0, 0.00012032474050541137 -0.00012030494950664725, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.015 0.005, 0.0 0.0, 0.00036085547552433723 -0.00012018622304607676, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.025 0.005, 0.0 0.0, 0.0006010300897555302 -0.00011994888729361835, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.034999999999999996 0.005, 0.0 0.0, 0.0008406115598513763 -0.0001195931764710058, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.045 0.005, 0.0 0.0, 0.0010793634478259131 -0.00011911944162187553, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.055 0.005, 0.0 0.0, 0.0013170501343905735 -0.00011852815026532895, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.065 0.005, 0.0 0.0, 0.0015534370514819805 -0.0001178198859345475, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.07500000000000001 0.005, 0.0 0.0, 0.0017882909137523027 -0.00011699534760091585, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.085 0.005, 0.0 0.0, 0.00202137994879373 -0.0001160553489842216, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.095 0.005, 0.0 0.0, 0.002252474125869856 -0.00011500081774961202, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.10500000000000001 0.005, 0.0 0.0, 0.0024813453829282462 -0.00011383279459210054, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.115 0.005, 0.0 0.0, 0.0027077678516701444 -0.00011255243220952651, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.125 0.005, 0.0 0.0, 0.0029315180804552186 -0.00011116099416498147, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.135 0.005, 0.0 0.0, 0.003152375254821351 -0.00010965985363982509, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.14500000000000002 0.005, 0.0 0.0, 0.0033701214154018503 -0.00010805049207852078, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.155 0.005, 0.0 0.0, 0.0035845416730250386 -0.00010633449772662896, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.165 0.005, 0.0 0.0, 0.003795424420783912 -0.00010451356406340043, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.17500000000000002 0.005, 0.0 0.0, 0.004002561542866614 -0.00010258948813051683, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.185 0.005, 0.0 0.0, 0.004205748619941619 -0.00010056416875862744, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.195 0.005, 0.0 0.0, 0.004404785130894926 -9.843960469343248e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.20500000000000002 0.005, 0.0 0.0, 0.004599474650720191 -9.621789262316264e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.215 0.005, 0.0 0.0, 0.004789625044366501 -9.390122510940068e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.225 0.005, 0.0 0.0, 0.004975048656352461 -9.149188842328802e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.23500000000000001 0.005, 0.0 0.0, 0.005155562495959505 -8.899226028925115e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.245 0.005, 0.0 0.0, 0.005330988417821639 -8.640480753847457e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.255 0.005, 0.0 0.0, 0.005501153297733416 -8.373208367443635e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.265 0.005, 0.0 0.0, 0.005665889203502615 -8.097672635290844e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.275 0.005, 0.0 0.0, 0.005825033560679051 -7.814145477890882e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.28500000000000003 0.005, 0.0 0.0, 0.005978429312995921 -7.522906702317464e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.295 0.005, 0.0 0.0, 0.006125925077365382 -7.22424372608039e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.305 0.005, 0.0 0.0, 0.006267375293275381 -6.918451293479188e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.315 0.005, 0.0 0.0, 0.006402640366440306 -6.605831184726071e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.325 0.005, 0.0 0.0, 0.006531586806563695 -6.286691918125293e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.335 0.005, 0.0 0.0, 0.006654087359077036 -5.9613484456028374e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.34500000000000003 0.005, 0.0 0.0, 0.006770021130724672 -5.630121841886892e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.35500000000000004 0.005, 0.0 0.0, 0.006879273708870838 -5.293338987645852e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.365 0.005, 0.0 0.0, 0.006981737274411127 -4.9513322468965686e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.375 0.005, 0.0 0.0, 0.00707731070817693 -4.604439139001182e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.385 0.005, 0.0 0.0, 0.00716589969072784 -4.2530020055762756e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.395 0.005, 0.0 0.0, 0.0072474167954335545 -3.8973676726430204e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.405 0.005, 0.0 0.0, 0.00732178157475341 -3.5378871083517674e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.41500000000000004 0.005, 0.0 0.0, 0.007388920639628385 -3.174915076618858e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.425 0.005, 0.0 0.0, 0.007448767731907248 -2.808809787017472e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.435 0.005, 0.0 0.0, 0.007501263789735345 -2.4399325412680114e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.445 0.005, 0.0 0.0, 0.007546357005841525 -2.0686473766769452e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.455 0.005, 0.0 0.0, 0.007584002878665662 -1.6953207068759232e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.465 0.005, 0.0 0.0, 0.007614164256276321 -1.320320960215764e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.47500000000000003 0.005, 0.0 0.0, 0.007636811373035225 -9.440182161721558e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.485 0.005, 0.0 0.0, 0.007651921878972354 -5.667838401218837e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.495 0.005, 0.0 0.0, 0.007659480861842662 -1.8899011685005337e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.505 0.005, 0.0 0.0, 0.007659480861842662 1.889901168500519e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.515 0.005, 0.0 0.0, 0.007651921878972354 5.667838401218822e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.525 0.005, 0.0 0.0, 0.007636811373035225 9.440182161721543e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.535 0.005, 0.0 0.0, 0.007614164256276321 1.320320960215765e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
